image_filename,bcs_1,bcs_2,bcs_mean,local_path
32_4_25_20_124_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\32_4_25_20_124_cow.jpg
73_4_23_22_111_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\73_4_23_22_111_cow.jpg
38_4_20_23_74_cow.jpg,4.0,3.5,3.75,BCS_dataset/images\38_4_20_23_74_cow.jpg
710_4_10_12_63_cow.jpg,3.5,3.75,3.62,BCS_dataset/images\710_4_10_12_63_cow.jpg
44_4_7_20_3_cow.jpg,3.0,3.0,3.0,BCS_dataset/images\44_4_7_20_3_cow.jpg
40_4_9_21_246_cow.jpg,3.0,2.75,2.88,BCS_dataset/images\40_4_9_21_246_cow.jpg
132_4_24_22_120_cow.jpg,4.5,4.5,4.5,BCS_dataset/images\132_4_24_22_120_cow.jpg
736_4_10_21_49_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\736_4_10_21_49_cow.jpg
131_4_22_22_112_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\131_4_22_22_112_cow.jpg
131_4_25_22_112_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\131_4_25_22_112_cow.jpg
736_4_5_22_162_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\736_4_5_22_162_cow.jpg
733_4_6_13_41_cow.jpg,2.75,2.75,2.75,BCS_dataset/images\733_4_6_13_41_cow.jpg
736_4_10_21_49_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\736_4_10_21_49_cow.jpg
73_4_25_20_127_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\73_4_25_20_127_cow.jpg
73_4_25_20_125_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\73_4_25_20_125_cow.jpg
128_4_14_12_112_cow.jpg,4.25,4.25,4.25,BCS_dataset/images\128_4_14_12_112_cow.jpg
132_4_14_10_505_cow.jpg,4.5,4.5,4.5,BCS_dataset/images\132_4_14_10_505_cow.jpg
714_4_25_10_81_cow.jpg,3.5,4.0,3.75,BCS_dataset/images\714_4_25_10_81_cow.jpg
132_4_4_10_91_cow.jpg,4.5,4.5,4.5,BCS_dataset/images\132_4_4_10_91_cow.jpg
49_4_7_21_162_cow.jpg,3.25,3.5,3.38,BCS_dataset/images\49_4_7_21_162_cow.jpg
128_4_14_12_110_cow.jpg,4.25,4.25,4.25,BCS_dataset/images\128_4_14_12_110_cow.jpg
696_4_27_12_69_cow.jpg,3.0,2.75,2.88,BCS_dataset/images\696_4_27_12_69_cow.jpg
131_4_25_22_112_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\131_4_25_22_112_cow.jpg
128_4_25_23_105_cow.jpg,4.25,4.25,4.25,BCS_dataset/images\128_4_25_23_105_cow.jpg
110_4_5_22_151_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\110_4_5_22_151_cow.jpg
42_4_4_23_59_cow.jpg,3.0,3.25,3.12,BCS_dataset/images\42_4_4_23_59_cow.jpg
713_4_5_12_109_cow.jpg,3.0,3.0,3.0,BCS_dataset/images\713_4_5_12_109_cow.jpg
128_4_4_10_132_cow.jpg,4.25,4.25,4.25,BCS_dataset/images\128_4_4_10_132_cow.jpg
714_4_25_10_79_cow.jpg,3.5,4.0,3.75,BCS_dataset/images\714_4_25_10_79_cow.jpg
32_4_24_21_116_cow.jpg,3.5,3.5,3.5,BCS_dataset/images\32_4_24_21_116_cow.jpg
