N,animal_id,BCS,data,frame,RGB_path,depth_path
2841,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.14.681.png,20.02.2025\2\depth\14.05.14.681.png
2842,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.14.758.png,20.02.2025\2\depth\14.05.14.758.png
2843,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.14.853.png,20.02.2025\2\depth\14.05.14.853.png
2844,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.14.945.png,20.02.2025\2\depth\14.05.14.945.png
2845,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.032.png,20.02.2025\2\depth\14.05.15.032.png
2846,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.117.png,20.02.2025\2\depth\14.05.15.117.png
2847,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.207.png,20.02.2025\2\depth\14.05.15.207.png
2848,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.299.png,20.02.2025\2\depth\14.05.15.299.png
2849,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.400.png,20.02.2025\2\depth\14.05.15.400.png
2850,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.487.png,20.02.2025\2\depth\14.05.15.487.png
2851,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.579.png,20.02.2025\2\depth\14.05.15.579.png
2852,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.671.png,20.02.2025\2\depth\14.05.15.671.png
2853,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.762.png,20.02.2025\2\depth\14.05.15.762.png
2854,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.859.png,20.02.2025\2\depth\14.05.15.859.png
2855,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.15.947.png,20.02.2025\2\depth\14.05.15.947.png
2856,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.16.041.png,20.02.2025\2\depth\14.05.16.041.png
2857,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.16.130.png,20.02.2025\2\depth\14.05.16.130.png
2858,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.16.222.png,20.02.2025\2\depth\14.05.16.222.png
2859,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.16.316.png,20.02.2025\2\depth\14.05.16.316.png
2860,7444,3.5,20.02.2025,2,20.02.2025\2\rgb\14.05.16.409.png,20.02.2025\2\depth\14.05.16.409.png
2861,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.25.397.png,20.02.2025\3\depth\14.05.25.397.png
2862,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.25.487.png,20.02.2025\3\depth\14.05.25.487.png
2863,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.25.581.png,20.02.2025\3\depth\14.05.25.581.png
2864,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.25.673.png,20.02.2025\3\depth\14.05.25.673.png
2865,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.25.772.png,20.02.2025\3\depth\14.05.25.772.png
2866,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.25.858.png,20.02.2025\3\depth\14.05.25.858.png
2867,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.25.950.png,20.02.2025\3\depth\14.05.25.950.png
2868,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.042.png,20.02.2025\3\depth\14.05.26.042.png
2869,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.133.png,20.02.2025\3\depth\14.05.26.133.png
2870,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.225.png,20.02.2025\3\depth\14.05.26.225.png
2871,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.320.png,20.02.2025\3\depth\14.05.26.320.png
2872,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.411.png,20.02.2025\3\depth\14.05.26.411.png
2873,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.504.png,20.02.2025\3\depth\14.05.26.504.png
2874,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.598.png,20.02.2025\3\depth\14.05.26.598.png
2875,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.689.png,20.02.2025\3\depth\14.05.26.689.png
2876,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.783.png,20.02.2025\3\depth\14.05.26.783.png
2877,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.875.png,20.02.2025\3\depth\14.05.26.875.png
2878,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.26.963.png,20.02.2025\3\depth\14.05.26.963.png
2879,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.27.057.png,20.02.2025\3\depth\14.05.27.057.png
2880,6952,3.25,20.02.2025,3,20.02.2025\3\rgb\14.05.27.150.png,20.02.2025\3\depth\14.05.27.150.png
2881,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.43.149.png,20.02.2025\4\depth\14.05.43.149.png
2882,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.43.240.png,20.02.2025\4\depth\14.05.43.240.png
2883,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.43.332.png,20.02.2025\4\depth\14.05.43.332.png
2884,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.43.425.png,20.02.2025\4\depth\14.05.43.425.png
2885,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.43.523.png,20.02.2025\4\depth\14.05.43.523.png
2886,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.43.611.png,20.02.2025\4\depth\14.05.43.611.png
2887,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.43.703.png,20.02.2025\4\depth\14.05.43.703.png
2888,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.43.795.png,20.02.2025\4\depth\14.05.43.795.png
2889,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.43.891.png,20.02.2025\4\depth\14.05.43.891.png
2890,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.43.990.png,20.02.2025\4\depth\14.05.43.990.png
2891,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.44.076.png,20.02.2025\4\depth\14.05.44.076.png
2892,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.44.168.png,20.02.2025\4\depth\14.05.44.168.png
2893,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.44.258.png,20.02.2025\4\depth\14.05.44.258.png
2894,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.44.353.png,20.02.2025\4\depth\14.05.44.353.png
2895,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.44.446.png,20.02.2025\4\depth\14.05.44.446.png
2896,7535,3.0,20.02.2025,4,20.02.2025\4\rgb\14.05.44.537.png,20.02.2025\4\depth\14.05.44.537.png
