N,animal_id,BCS,data,frame,RGB_path,depth_path
1,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.01.120.png,06.12.2024\4\depth\14.14.01.120.png
2,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.01.202.png,06.12.2024\4\depth\14.14.01.202.png
3,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.01.292.png,06.12.2024\4\depth\14.14.01.292.png
4,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.01.385.png,06.12.2024\4\depth\14.14.01.385.png
5,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.01.479.png,06.12.2024\4\depth\14.14.01.479.png
6,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.01.570.png,06.12.2024\4\depth\14.14.01.570.png
7,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.01.663.png,06.12.2024\4\depth\14.14.01.663.png
8,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.01.753.png,06.12.2024\4\depth\14.14.01.753.png
9,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.01.848.png,06.12.2024\4\depth\14.14.01.848.png
10,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.01.939.png,06.12.2024\4\depth\14.14.01.939.png
11,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.02.030.png,06.12.2024\4\depth\14.14.02.030.png
12,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.02.121.png,06.12.2024\4\depth\14.14.02.121.png
13,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.02.215.png,06.12.2024\4\depth\14.14.02.215.png
14,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.02.309.png,06.12.2024\4\depth\14.14.02.309.png
15,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.02.404.png,06.12.2024\4\depth\14.14.02.404.png
16,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.02.492.png,06.12.2024\4\depth\14.14.02.492.png
17,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.02.584.png,06.12.2024\4\depth\14.14.02.584.png
18,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.02.676.png,06.12.2024\4\depth\14.14.02.676.png
19,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.02.767.png,06.12.2024\4\depth\14.14.02.767.png
20,230211,3.5,06.12.2024,4,06.12.2024\4\rgb\14.14.02.858.png,06.12.2024\4\depth\14.14.02.858.png
21,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.33.847.png,06.12.2024\6\depth\14.15.33.847.png
22,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.33.943.png,06.12.2024\6\depth\14.15.33.943.png
23,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.034.png,06.12.2024\6\depth\14.15.34.034.png
24,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.126.png,06.12.2024\6\depth\14.15.34.126.png
25,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.222.png,06.12.2024\6\depth\14.15.34.222.png
26,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.314.png,06.12.2024\6\depth\14.15.34.314.png
27,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.410.png,06.12.2024\6\depth\14.15.34.410.png
28,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.497.png,06.12.2024\6\depth\14.15.34.497.png
29,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.594.png,06.12.2024\6\depth\14.15.34.594.png
30,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.686.png,06.12.2024\6\depth\14.15.34.686.png
31,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.779.png,06.12.2024\6\depth\14.15.34.779.png
32,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.868.png,06.12.2024\6\depth\14.15.34.868.png
33,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.34.962.png,06.12.2024\6\depth\14.15.34.962.png
34,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.35.057.png,06.12.2024\6\depth\14.15.35.057.png
35,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.35.144.png,06.12.2024\6\depth\14.15.35.144.png
36,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.35.236.png,06.12.2024\6\depth\14.15.35.236.png
37,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.35.331.png,06.12.2024\6\depth\14.15.35.331.png
38,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.35.427.png,06.12.2024\6\depth\14.15.35.427.png
39,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.35.534.png,06.12.2024\6\depth\14.15.35.534.png
40,7418,3.25,06.12.2024,6,06.12.2024\6\rgb\14.15.35.637.png,06.12.2024\6\depth\14.15.35.637.png
41,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.50.922.png,06.12.2024\7\depth\14.15.50.922.png
42,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.015.png,06.12.2024\7\depth\14.15.51.015.png
43,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.109.png,06.12.2024\7\depth\14.15.51.109.png
44,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.201.png,06.12.2024\7\depth\14.15.51.201.png
45,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.289.png,06.12.2024\7\depth\14.15.51.289.png
46,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.381.png,06.12.2024\7\depth\14.15.51.381.png
47,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.475.png,06.12.2024\7\depth\14.15.51.475.png
48,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.567.png,06.12.2024\7\depth\14.15.51.567.png
49,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.663.png,06.12.2024\7\depth\14.15.51.663.png
50,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.754.png,06.12.2024\7\depth\14.15.51.754.png
51,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.842.png,06.12.2024\7\depth\14.15.51.842.png
52,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.51.935.png,06.12.2024\7\depth\14.15.51.935.png
53,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.52.020.png,06.12.2024\7\depth\14.15.52.020.png
54,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.52.101.png,06.12.2024\7\depth\14.15.52.101.png
55,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.52.200.png,06.12.2024\7\depth\14.15.52.200.png
56,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.52.289.png,06.12.2024\7\depth\14.15.52.289.png
57,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.52.383.png,06.12.2024\7\depth\14.15.52.383.png
58,310823,3.5,06.12.2024,7,06.12.2024\7\rgb\14.15.52.468.png,06.12.2024\7\depth\14.15.52.468.png
